Simulation,Agent,Episode,Reward
0,0,0,23.0
0,1,0,26.0
0,2,0,28.0
0,3,0,16.0
0,4,0,18.0
0,0,1,20.0
0,1,1,16.0
0,2,1,9.0
0,3,1,28.0
0,4,1,23.0
0,0,2,10.0
0,1,2,9.0
0,2,2,26.0
0,3,2,11.0
0,4,2,10.0
0,0,3,14.0
0,1,3,39.0
0,2,3,62.0
0,3,3,21.0
0,4,3,50.0
0,0,4,12.0
0,1,4,25.0
0,2,4,43.0
0,3,4,22.0
0,4,4,36.0
0,0,5,41.0
0,1,5,17.0
0,2,5,21.0
0,3,5,16.0
0,4,5,21.0
0,0,6,17.0
0,1,6,31.0
0,2,6,25.0
0,3,6,14.0
0,4,6,19.0
0,0,7,14.0
0,1,7,28.0
0,2,7,13.0
0,3,7,56.0
0,4,7,15.0
0,0,8,16.0
0,1,8,34.0
0,2,8,29.0
0,3,8,12.0
0,4,8,34.0
0,0,9,32.0
0,1,9,17.0
0,2,9,51.0
0,3,9,27.0
0,4,9,27.0
0,0,10,19.0
0,1,10,59.0
0,2,10,14.0
0,3,10,54.0
0,4,10,69.0
0,0,11,22.0
0,1,11,16.0
0,2,11,12.0
0,3,11,49.0
0,4,11,13.0
0,0,12,23.0
0,1,12,12.0
0,2,12,51.0
0,3,12,21.0
0,4,12,17.0
0,0,13,16.0
0,1,13,13.0
0,2,13,34.0
0,3,13,38.0
0,4,13,26.0
0,0,14,15.0
0,1,14,37.0
0,2,14,31.0
0,3,14,18.0
0,4,14,15.0
0,0,15,17.0
0,1,15,20.0
0,2,15,13.0
0,3,15,24.0
0,4,15,11.0
0,0,16,25.0
0,1,16,13.0
0,2,16,13.0
0,3,16,32.0
0,4,16,17.0
0,0,17,53.0
0,1,17,12.0
0,2,17,10.0
0,3,17,9.0
0,4,17,21.0
0,0,18,15.0
0,1,18,30.0
0,2,18,30.0
0,3,18,33.0
0,4,18,10.0
0,0,19,38.0
0,1,19,44.0
0,2,19,28.0
0,3,19,13.0
0,4,19,13.0
0,0,20,10.0
0,1,20,13.0
0,2,20,29.0
0,3,20,25.0
0,4,20,16.0
0,0,21,27.0
0,1,21,36.0
0,2,21,13.0
0,3,21,35.0
0,4,21,19.0
0,0,22,38.0
0,1,22,21.0
0,2,22,35.0
0,3,22,42.0
0,4,22,18.0
0,0,23,23.0
0,1,23,14.0
0,2,23,18.0
0,3,23,13.0
0,4,23,29.0
0,0,24,23.0
0,1,24,22.0
0,2,24,13.0
0,3,24,19.0
0,4,24,28.0
0,0,25,14.0
0,1,25,13.0
0,2,25,22.0
0,3,25,10.0
0,4,25,27.0
0,0,26,20.0
0,1,26,15.0
0,2,26,25.0
0,3,26,16.0
0,4,26,30.0
0,0,27,20.0
0,1,27,12.0
0,2,27,19.0
0,3,27,28.0
0,4,27,10.0
0,0,28,11.0
0,1,28,19.0
0,2,28,28.0
0,3,28,18.0
0,4,28,30.0
0,0,29,20.0
0,1,29,17.0
0,2,29,13.0
0,3,29,13.0
0,4,29,33.0
0,0,30,35.0
0,1,30,15.0
0,2,30,24.0
0,3,30,35.0
0,4,30,22.0
0,0,31,22.0
0,1,31,13.0
0,2,31,15.0
0,3,31,54.0
0,4,31,28.0
0,0,32,34.0
0,1,32,48.0
0,2,32,13.0
0,3,32,22.0
0,4,32,43.0
0,0,33,31.0
0,1,33,26.0
0,2,33,18.0
0,3,33,14.0
0,4,33,16.0
0,0,34,18.0
0,1,34,13.0
0,2,34,12.0
0,3,34,28.0
0,4,34,14.0
0,0,35,15.0
0,1,35,13.0
0,2,35,12.0
0,3,35,12.0
0,4,35,22.0
0,0,36,15.0
0,1,36,22.0
0,2,36,17.0
0,3,36,11.0
0,4,36,17.0
0,0,37,10.0
0,1,37,24.0
0,2,37,22.0
0,3,37,14.0
0,4,37,17.0
0,0,38,16.0
0,1,38,13.0
0,2,38,28.0
0,3,38,19.0
0,4,38,30.0
0,0,39,17.0
0,1,39,30.0
0,2,39,12.0
0,3,39,14.0
0,4,39,12.0
0,0,40,14.0
0,1,40,16.0
0,2,40,14.0
0,3,40,16.0
0,4,40,83.0
0,0,41,31.0
0,1,41,10.0
0,2,41,16.0
0,3,41,23.0
0,4,41,36.0
0,0,42,14.0
0,1,42,18.0
0,2,42,23.0
0,3,42,21.0
0,4,42,15.0
0,0,43,10.0
0,1,43,19.0
0,2,43,28.0
0,3,43,15.0
0,4,43,31.0
0,0,44,16.0
0,1,44,15.0
0,2,44,21.0
0,3,44,12.0
0,4,44,23.0
0,0,45,12.0
0,1,45,21.0
0,2,45,43.0
0,3,45,18.0
0,4,45,15.0
0,0,46,11.0
0,1,46,30.0
0,2,46,33.0
0,3,46,12.0
0,4,46,15.0
0,0,47,52.0
0,1,47,14.0
0,2,47,21.0
0,3,47,27.0
0,4,47,23.0
0,0,48,13.0
0,1,48,11.0
0,2,48,19.0
0,3,48,21.0
0,4,48,14.0
0,0,49,33.0
0,1,49,44.0
0,2,49,24.0
0,3,49,11.0
0,4,49,19.0
0,0,50,14.0
0,1,50,11.0
0,2,50,54.0
0,3,50,19.0
0,4,50,14.0
0,0,51,13.0
0,1,51,13.0
0,2,51,10.0
0,3,51,20.0
0,4,51,14.0
0,0,52,14.0
0,1,52,9.0
0,2,52,11.0
0,3,52,9.0
0,4,52,32.0
0,0,53,21.0
0,1,53,12.0
0,2,53,9.0
0,3,53,13.0
0,4,53,13.0
0,0,54,18.0
0,1,54,19.0
0,2,54,27.0
0,3,54,78.0
0,4,54,17.0
0,0,55,29.0
0,1,55,14.0
0,2,55,15.0
0,3,55,21.0
0,4,55,66.0
0,0,56,24.0
0,1,56,48.0
0,2,56,9.0
0,3,56,15.0
0,4,56,20.0
0,0,57,32.0
0,1,57,12.0
0,2,57,16.0
0,3,57,10.0
0,4,57,34.0
0,0,58,29.0
0,1,58,16.0
0,2,58,37.0
0,3,58,34.0
0,4,58,12.0
0,0,59,17.0
0,1,59,19.0
0,2,59,40.0
0,3,59,10.0
0,4,59,29.0
0,0,60,15.0
0,1,60,12.0
0,2,60,47.0
0,3,60,22.0
0,4,60,18.0
0,0,61,14.0
0,1,61,25.0
0,2,61,40.0
0,3,61,27.0
0,4,61,22.0
0,0,62,12.0
0,1,62,18.0
0,2,62,32.0
0,3,62,13.0
0,4,62,17.0
0,0,63,28.0
0,1,63,18.0
0,2,63,37.0
0,3,63,25.0
0,4,63,43.0
0,0,64,13.0
0,1,64,45.0
0,2,64,16.0
0,3,64,11.0
0,4,64,11.0
0,0,65,53.0
0,1,65,31.0
0,2,65,29.0
0,3,65,17.0
0,4,65,21.0
0,0,66,25.0
0,1,66,19.0
0,2,66,9.0
0,3,66,22.0
0,4,66,13.0
0,0,67,12.0
0,1,67,22.0
0,2,67,12.0
0,3,67,21.0
0,4,67,62.0
0,0,68,32.0
0,1,68,22.0
0,2,68,28.0
0,3,68,15.0
0,4,68,34.0
0,0,69,39.0
0,1,69,33.0
0,2,69,14.0
0,3,69,34.0
0,4,69,8.0
0,0,70,30.0
0,1,70,25.0
0,2,70,12.0
0,3,70,15.0
0,4,70,25.0
0,0,71,35.0
0,1,71,24.0
0,2,71,26.0
0,3,71,15.0
0,4,71,9.0
0,0,72,18.0
0,1,72,18.0
0,2,72,17.0
0,3,72,23.0
0,4,72,21.0
0,0,73,11.0
0,1,73,14.0
0,2,73,11.0
0,3,73,17.0
0,4,73,32.0
0,0,74,13.0
0,1,74,16.0
0,2,74,55.0
0,3,74,9.0
0,4,74,10.0
0,0,75,28.0
0,1,75,11.0
0,2,75,32.0
0,3,75,16.0
0,4,75,39.0
0,0,76,21.0
0,1,76,23.0
0,2,76,14.0
0,3,76,26.0
0,4,76,16.0
0,0,77,20.0
0,1,77,43.0
0,2,77,11.0
0,3,77,12.0
0,4,77,22.0
0,0,78,13.0
0,1,78,40.0
0,2,78,15.0
0,3,78,33.0
0,4,78,17.0
0,0,79,13.0
0,1,79,18.0
0,2,79,63.0
0,3,79,22.0
0,4,79,20.0
0,0,80,9.0
0,1,80,50.0
0,2,80,11.0
0,3,80,42.0
0,4,80,12.0
0,0,81,21.0
0,1,81,19.0
0,2,81,20.0
0,3,81,19.0
0,4,81,20.0
0,0,82,22.0
0,1,82,16.0
0,2,82,22.0
0,3,82,10.0
0,4,82,18.0
0,0,83,29.0
0,1,83,19.0
0,2,83,23.0
0,3,83,17.0
0,4,83,10.0
0,0,84,18.0
0,1,84,24.0
0,2,84,49.0
0,3,84,32.0
0,4,84,25.0
0,0,85,13.0
0,1,85,24.0
0,2,85,14.0
0,3,85,16.0
0,4,85,31.0
0,0,86,21.0
0,1,86,34.0
0,2,86,19.0
0,3,86,21.0
0,4,86,18.0
0,0,87,19.0
0,1,87,26.0
0,2,87,20.0
0,3,87,12.0
0,4,87,28.0
0,0,88,39.0
0,1,88,17.0
0,2,88,11.0
0,3,88,19.0
0,4,88,13.0
0,0,89,16.0
0,1,89,35.0
0,2,89,17.0
0,3,89,15.0
0,4,89,21.0
0,0,90,26.0
0,1,90,27.0
0,2,90,22.0
0,3,90,14.0
0,4,90,28.0
0,0,91,29.0
0,1,91,17.0
0,2,91,18.0
0,3,91,20.0
0,4,91,16.0
0,0,92,48.0
0,1,92,30.0
0,2,92,44.0
0,3,92,32.0
0,4,92,13.0
0,0,93,17.0
0,1,93,16.0
0,2,93,28.0
0,3,93,17.0
0,4,93,27.0
0,0,94,23.0
0,1,94,12.0
0,2,94,41.0
0,3,94,15.0
0,4,94,28.0
0,0,95,11.0
0,1,95,21.0
0,2,95,21.0
0,3,95,37.0
0,4,95,10.0
0,0,96,16.0
0,1,96,16.0
0,2,96,16.0
0,3,96,20.0
0,4,96,10.0
0,0,97,15.0
0,1,97,26.0
0,2,97,20.0
0,3,97,27.0
0,4,97,19.0
0,0,98,13.0
0,1,98,39.0
0,2,98,33.0
0,3,98,13.0
0,4,98,24.0
0,0,99,49.0
0,1,99,19.0
0,2,99,11.0
0,3,99,18.0
0,4,99,29.0
0,0,100,14.0
0,1,100,16.0
0,2,100,19.0
0,3,100,18.0
0,4,100,10.0
0,0,101,25.0
0,1,101,37.0
0,2,101,11.0
0,3,101,12.0
0,4,101,15.0
0,0,102,17.0
0,1,102,30.0
0,2,102,12.0
0,3,102,16.0
0,4,102,20.0
0,0,103,31.0
0,1,103,36.0
0,2,103,14.0
0,3,103,10.0
0,4,103,11.0
0,0,104,12.0
0,1,104,17.0
0,2,104,32.0
0,3,104,15.0
0,4,104,20.0
0,0,105,10.0
0,1,105,13.0
0,2,105,16.0
0,3,105,9.0
0,4,105,27.0
