Simulation,Agent,Episode,Reward
0,0,0,17.0
0,1,0,19.0
0,2,0,53.0
0,3,0,15.0
0,4,0,19.0
0,0,1,17.0
0,1,1,22.0
0,2,1,12.0
0,3,1,20.0
0,4,1,34.0
0,0,2,48.0
0,1,2,8.0
0,2,2,18.0
0,3,2,8.0
0,4,2,15.0
0,0,3,21.0
0,1,3,28.0
0,2,3,32.0
0,3,3,11.0
0,4,3,16.0
0,0,4,19.0
0,1,4,18.0
0,2,4,17.0
0,3,4,15.0
0,4,4,14.0
0,0,5,22.0
0,1,5,14.0
0,2,5,19.0
0,3,5,16.0
0,4,5,24.0
0,0,6,28.0
0,1,6,15.0
0,2,6,22.0
0,3,6,15.0
0,4,6,24.0
0,0,7,17.0
0,1,7,17.0
0,2,7,35.0
0,3,7,37.0
0,4,7,17.0
0,0,8,17.0
0,1,8,25.0
0,2,8,20.0
0,3,8,26.0
0,4,8,32.0
0,0,9,31.0
0,1,9,16.0
0,2,9,27.0
0,3,9,39.0
0,4,9,28.0
0,0,10,26.0
0,1,10,15.0
0,2,10,30.0
0,3,10,14.0
0,4,10,39.0
0,0,11,18.0
0,1,11,17.0
0,2,11,27.0
0,3,11,14.0
0,4,11,50.0
0,0,12,58.0
0,1,12,10.0
0,2,12,20.0
0,3,12,57.0
0,4,12,23.0
0,0,13,13.0
0,1,13,22.0
0,2,13,21.0
0,3,13,13.0
0,4,13,24.0
0,0,14,24.0
0,1,14,15.0
0,2,14,16.0
0,3,14,12.0
0,4,14,30.0
0,0,15,22.0
0,1,15,14.0
0,2,15,16.0
0,3,15,22.0
0,4,15,23.0
0,0,16,16.0
0,1,16,24.0
0,2,16,37.0
0,3,16,43.0
0,4,16,14.0
0,0,17,20.0
0,1,17,11.0
0,2,17,28.0
0,3,17,13.0
0,4,17,36.0
0,0,18,15.0
0,1,18,24.0
0,2,18,11.0
0,3,18,24.0
0,4,18,13.0
0,0,19,14.0
0,1,19,29.0
0,2,19,15.0
0,3,19,12.0
0,4,19,12.0
0,0,20,22.0
0,1,20,17.0
0,2,20,13.0
0,3,20,22.0
0,4,20,14.0
0,0,21,26.0
0,1,21,12.0
0,2,21,16.0
0,3,21,12.0
0,4,21,11.0
0,0,22,43.0
0,1,22,15.0
0,2,22,16.0
0,3,22,10.0
0,4,22,39.0
0,0,23,19.0
0,1,23,50.0
0,2,23,17.0
0,3,23,43.0
0,4,23,24.0
0,0,24,25.0
0,1,24,16.0
0,2,24,22.0
0,3,24,25.0
0,4,24,19.0
0,0,25,14.0
0,1,25,17.0
0,2,25,25.0
0,3,25,24.0
0,4,25,30.0
0,0,26,15.0
0,1,26,10.0
0,2,26,20.0
0,3,26,18.0
0,4,26,14.0
0,0,27,68.0
0,1,27,17.0
0,2,27,18.0
0,3,27,25.0
0,4,27,34.0
0,0,28,14.0
0,1,28,27.0
0,2,28,33.0
0,3,28,20.0
0,4,28,26.0
0,0,29,27.0
0,1,29,15.0
0,2,29,27.0
0,3,29,16.0
0,4,29,20.0
0,0,30,33.0
0,1,30,57.0
0,2,30,18.0
0,3,30,32.0
0,4,30,26.0
0,0,31,19.0
0,1,31,15.0
0,2,31,27.0
0,3,31,23.0
0,4,31,17.0
0,0,32,13.0
0,1,32,17.0
0,2,32,16.0
0,3,32,12.0
0,4,32,35.0
0,0,33,17.0
0,1,33,12.0
0,2,33,16.0
0,3,33,14.0
0,4,33,16.0
0,0,34,11.0
0,1,34,15.0
0,2,34,15.0
0,3,34,13.0
0,4,34,15.0
0,0,35,15.0
0,1,35,32.0
0,2,35,15.0
0,3,35,40.0
0,4,35,29.0
0,0,36,14.0
0,1,36,29.0
0,2,36,12.0
0,3,36,38.0
0,4,36,27.0
0,0,37,19.0
0,1,37,25.0
0,2,37,13.0
0,3,37,13.0
0,4,37,33.0
0,0,38,27.0
0,1,38,17.0
0,2,38,18.0
0,3,38,36.0
0,4,38,9.0
0,0,39,13.0
0,1,39,17.0
0,2,39,14.0
0,3,39,17.0
0,4,39,17.0
0,0,40,8.0
0,1,40,12.0
0,2,40,17.0
0,3,40,11.0
0,4,40,14.0
0,0,41,18.0
0,1,41,26.0
0,2,41,21.0
0,3,41,33.0
0,4,41,33.0
0,0,42,20.0
0,1,42,26.0
0,2,42,36.0
0,3,42,19.0
0,4,42,12.0
0,0,43,31.0
0,1,43,15.0
0,2,43,16.0
0,3,43,15.0
0,4,43,24.0
0,0,44,22.0
0,1,44,22.0
0,2,44,11.0
0,3,44,12.0
0,4,44,16.0
0,0,45,15.0
0,1,45,20.0
0,2,45,11.0
0,3,45,18.0
0,4,45,16.0
0,0,46,38.0
0,1,46,9.0
0,2,46,13.0
0,3,46,14.0
0,4,46,18.0
0,0,47,12.0
0,1,47,43.0
0,2,47,40.0
0,3,47,21.0
0,4,47,49.0
0,0,48,15.0
0,1,48,35.0
0,2,48,19.0
0,3,48,17.0
0,4,48,23.0
0,0,49,14.0
0,1,49,23.0
0,2,49,36.0
0,3,49,29.0
0,4,49,16.0
0,0,50,17.0
0,1,50,11.0
