Simulation,Agent,Episode,Reward
0,0,0,360.0
0,1,0,190.0
0,2,0,280.0
0,3,0,140.0
0,4,0,730.0
0,0,1,180.0
0,1,1,410.0
0,2,1,170.0
0,3,1,160.0
0,4,1,170.0
0,0,2,200.0
0,1,2,240.0
0,2,2,420.0
0,3,2,240.0
0,4,2,270.0
0,0,3,290.0
0,1,3,200.0
0,2,3,260.0
0,3,3,790.0
0,4,3,250.0
0,0,4,160.0
0,1,4,410.0
0,2,4,180.0
0,3,4,180.0
0,4,4,180.0
0,0,5,240.0
0,1,5,290.0
0,2,5,250.0
0,3,5,340.0
0,4,5,290.0
0,0,6,240.0
0,1,6,340.0
0,2,6,270.0
0,3,6,340.0
0,4,6,230.0
0,0,7,180.0
0,1,7,210.0
0,2,7,240.0
0,3,7,210.0
0,4,7,270.0
0,0,8,110.0
0,1,8,250.0
0,2,8,160.0
0,3,8,220.0
0,4,8,190.0
0,0,9,310.0
0,1,9,390.0
0,2,9,240.0
0,3,9,150.0
0,4,9,870.0
0,0,10,200.0
0,1,10,290.0
0,2,10,240.0
0,3,10,240.0
0,4,10,240.0
0,0,11,190.0
0,1,11,250.0
0,2,11,240.0
0,3,11,230.0
0,4,11,270.0
0,0,12,170.0
0,1,12,190.0
0,2,12,270.0
0,3,12,360.0
0,4,12,170.0
0,0,13,270.0
0,1,13,340.0
0,2,13,230.0
0,3,13,220.0
0,4,13,210.0
0,0,14,210.0
0,1,14,200.0
0,2,14,170.0
0,3,14,130.0
0,4,14,250.0
0,0,15,330.0
0,1,15,190.0
0,2,15,290.0
0,3,15,240.0
0,4,15,580.0
0,0,16,180.0
0,1,16,600.0
0,2,16,170.0
0,3,16,240.0
0,4,16,160.0
0,0,17,230.0
0,1,17,210.0
0,2,17,480.0
0,3,17,160.0
0,4,17,250.0
0,0,18,240.0
0,1,18,390.0
0,2,18,180.0
0,3,18,270.0
0,4,18,530.0
0,0,19,140.0
0,1,19,210.0
0,2,19,200.0
0,3,19,230.0
0,4,19,130.0
0,0,20,130.0
0,1,20,220.0
0,2,20,270.0
0,3,20,270.0
0,4,20,260.0
0,0,21,210.0
0,1,21,390.0
0,2,21,240.0
0,3,21,220.0
0,4,21,230.0
0,0,22,240.0
0,1,22,260.0
0,2,22,230.0
0,3,22,210.0
0,4,22,240.0
0,0,23,180.0
0,1,23,230.0
0,2,23,240.0
0,3,23,250.0
0,4,23,290.0
0,0,24,330.0
0,1,24,220.0
0,2,24,350.0
0,3,24,230.0
0,4,24,220.0
0,0,25,240.0
0,1,25,150.0
0,2,25,270.0
0,3,25,170.0
0,4,25,170.0
0,0,26,260.0
0,1,26,240.0
0,2,26,380.0
0,3,26,290.0
0,4,26,210.0
0,0,27,280.0
0,1,27,200.0
0,2,27,380.0
0,3,27,210.0
0,4,27,230.0
0,0,28,150.0
0,1,28,240.0
0,2,28,290.0
0,3,28,270.0
0,4,28,260.0
0,0,29,250.0
0,1,29,240.0
0,2,29,230.0
0,3,29,240.0
0,4,29,240.0
0,0,30,530.0
0,1,30,250.0
0,2,30,780.0
0,3,30,220.0
0,4,30,170.0
0,0,31,170.0
0,1,31,530.0
0,2,31,650.0
0,3,31,190.0
0,4,31,280.0
0,0,32,140.0
0,1,32,280.0
0,2,32,270.0
0,3,32,240.0
0,4,32,150.0
0,0,33,270.0
