Simulation,Agent,Episode,Reward
0,0,0,16.0
0,1,0,25.0
0,2,0,17.0
0,3,0,16.0
0,4,0,15.0
0,0,1,22.0
0,1,1,18.0
0,2,1,17.0
0,3,1,23.0
0,4,1,29.0
0,0,2,23.0
0,1,2,9.0
0,2,2,57.0
0,3,2,14.0
0,4,2,10.0
0,0,3,23.0
0,1,3,15.0
0,2,3,17.0
0,3,3,13.0
0,4,3,23.0
0,0,4,15.0
0,1,4,13.0
0,2,4,11.0
0,3,4,13.0
0,4,4,15.0
0,0,5,18.0
0,1,5,26.0
0,2,5,18.0
0,3,5,18.0
0,4,5,30.0
0,0,6,14.0
0,1,6,31.0
0,2,6,15.0
0,3,6,11.0
0,4,6,24.0
0,0,7,34.0
0,1,7,43.0
0,2,7,13.0
0,3,7,27.0
0,4,7,14.0
0,0,8,26.0
0,1,8,36.0
0,2,8,58.0
0,3,8,13.0
0,4,8,26.0
0,0,9,16.0
0,1,9,13.0
0,2,9,20.0
0,3,9,15.0
0,4,9,14.0
0,0,10,27.0
0,1,10,46.0
0,2,10,32.0
0,3,10,28.0
0,4,10,39.0
0,0,11,57.0
0,1,11,23.0
0,2,11,59.0
0,3,11,49.0
0,4,11,41.0
0,0,12,16.0
0,1,12,18.0
0,2,12,22.0
0,3,12,36.0
0,4,12,32.0
0,0,13,12.0
0,1,13,16.0
0,2,13,28.0
0,3,13,25.0
0,4,13,20.0
0,0,14,11.0
0,1,14,46.0
0,2,14,15.0
0,3,14,17.0
0,4,14,28.0
0,0,15,28.0
0,1,15,16.0
0,2,15,27.0
0,3,15,12.0
0,4,15,57.0
0,0,16,17.0
0,1,16,16.0
0,2,16,20.0
0,3,16,40.0
0,4,16,18.0
0,0,17,15.0
0,1,17,29.0
0,2,17,11.0
0,3,17,14.0
0,4,17,17.0
0,0,18,22.0
0,1,18,10.0
0,2,18,17.0
0,3,18,19.0
0,4,18,12.0
0,0,19,16.0
0,1,19,24.0
0,2,19,15.0
0,3,19,22.0
0,4,19,13.0
0,0,20,18.0
0,1,20,18.0
0,2,20,12.0
0,3,20,16.0
0,4,20,33.0
0,0,21,10.0
0,1,21,12.0
0,2,21,15.0
0,3,21,9.0
0,4,21,27.0
0,0,22,28.0
0,1,22,16.0
0,2,22,36.0
0,3,22,26.0
0,4,22,16.0
0,0,23,68.0
0,1,23,15.0
0,2,23,23.0
0,3,23,14.0
0,4,23,22.0
0,0,24,20.0
0,1,24,14.0
0,2,24,13.0
0,3,24,11.0
0,4,24,18.0
0,0,25,12.0
0,1,25,13.0
0,2,25,15.0
0,3,25,13.0
0,4,25,36.0
0,0,26,26.0
0,1,26,17.0
0,2,26,14.0
0,3,26,23.0
0,4,26,14.0
0,0,27,18.0
0,1,27,22.0
0,2,27,14.0
0,3,27,22.0
0,4,27,16.0
0,0,28,27.0
0,1,28,49.0
0,2,28,17.0
0,3,28,11.0
0,4,28,30.0
0,0,29,42.0
0,1,29,14.0
0,2,29,34.0
0,3,29,16.0
0,4,29,10.0
0,0,30,13.0
0,1,30,19.0
0,2,30,26.0
0,3,30,14.0
0,4,30,33.0
0,0,31,17.0
0,1,31,60.0
0,2,31,28.0
0,3,31,36.0
0,4,31,38.0
0,0,32,22.0
0,1,32,25.0
0,2,32,36.0
0,3,32,12.0
0,4,32,42.0
0,0,33,23.0
0,1,33,17.0
0,2,33,17.0
0,3,33,12.0
0,4,33,23.0
0,0,34,17.0
0,1,34,18.0
0,2,34,14.0
0,3,34,20.0
0,4,34,25.0
0,0,35,12.0
0,1,35,13.0
0,2,35,12.0
0,3,35,13.0
0,4,35,42.0
0,0,36,26.0
0,1,36,15.0
0,2,36,17.0
0,3,36,9.0
0,4,36,15.0
0,0,37,16.0
0,1,37,24.0
0,2,37,13.0
0,3,37,19.0
0,4,37,9.0
0,0,38,13.0
0,1,38,19.0
0,2,38,21.0
0,3,38,11.0
0,4,38,22.0
0,0,39,21.0
0,1,39,24.0
0,2,39,30.0
0,3,39,34.0
0,4,39,10.0
0,0,40,39.0
0,1,40,16.0
0,2,40,15.0
0,3,40,29.0
0,4,40,21.0
0,0,41,10.0
0,1,41,12.0
0,2,41,13.0
0,3,41,29.0
0,4,41,19.0
0,0,42,16.0
0,1,42,41.0
0,2,42,24.0
0,3,42,47.0
0,4,42,33.0
0,0,43,13.0
0,1,43,30.0
0,2,43,12.0
0,3,43,18.0
0,4,43,14.0
0,0,44,10.0
0,1,44,26.0
0,2,44,14.0
0,3,44,30.0
0,4,44,12.0
0,0,45,42.0
0,1,45,15.0
0,2,45,12.0
0,3,45,9.0
0,4,45,18.0
0,0,46,18.0
0,1,46,29.0
0,2,46,53.0
0,3,46,41.0
0,4,46,22.0
